rmse,mae,fcp,n_cltr_u,n_cltr_i
1.1245883269310575,0.8544638485422851,0.5668112589258787,3,3
1.1419558899628564,0.8689571875427015,0.5637245208365481,3,5
1.1358326530526486,0.8629736264786052,0.5672291121072756,3,7
1.1362476246208773,0.8639925654046386,0.5703492695440707,3,9
1.1365712083344213,0.8644783426483854,0.5641695073083874,3,11
1.1310903857778891,0.8596287463414433,0.5685257956934096,5,3
1.1309077516515624,0.8601354525079594,0.5665631203055265,5,5
1.137590566981461,0.8647621867299703,0.5699279109338357,5,7
1.1321264833506475,0.8606687306892907,0.5762859825855865,5,9
1.148578313883315,0.8723950511994397,0.5703481797543456,5,11
1.1301142816245975,0.8581618988555977,0.56433196420943,7,3
1.1320355132610207,0.8609111617313202,0.5581682106466365,7,5
1.1377581154117444,0.8666228778075353,0.5662632467630819,7,7
1.1324141695016783,0.8623346196290498,0.5723968222312505,7,9
1.1375160138935172,0.8654666149587538,0.5609037321463971,7,11
1.130506400068716,0.8596754561479735,0.569627081296786,9,3
1.1364407577739934,0.8654320817619413,0.5755155708246484,9,5
1.1327029616391602,0.862199128274706,0.5740216862161714,9,7
1.132679540426614,0.8624965145811566,0.5872932378819999,9,9
1.1330670622598655,0.8622727189832573,0.5668772270813087,9,11
1.140856805651595,0.8671093763078371,0.563641156294622,11,3
1.1362240631092198,0.8653473158110903,0.5625622962706677,11,5
1.1373524519469638,0.8657538787392103,0.5714048812836144,11,7
1.1343515400262545,0.8625128978702398,0.5512615210772525,11,9
1.1389387248033405,0.8668232908747076,0.5614619446358847,11,11
