rmse,mae,fcp,k,min_k
1.1130407559898228,0.8399187372333475,0.6253029031235615,35,3
1.1123222220173419,0.8401083388353225,0.6007844468493381,35,5
1.111825082567594,0.8394823276636625,0.5780599398605598,35,7
1.1130358893892347,0.839861883082416,0.6247924816448274,40,3
1.1123173522730307,0.8400514846843913,0.6000263947821014,40,5
1.111820210645825,0.8394254735127311,0.5770043230676102,40,7
1.1130072312243737,0.8398129607166795,0.6258589539545696,45,3
1.1122886755950308,0.8400025623186547,0.6015088858593147,45,5
1.1117915211449436,0.8393765511469945,0.578870770490624,45,7
1.1130188572333115,0.8398185775981659,0.6258995797591453,50,3
1.112300309114471,0.840008179200141,0.601550510409676,50,5
1.1118031598664346,0.8393821680284808,0.5785011257267105,50,7
